Given Names,Last Name,Born,Died,Location,Link 
Samuel Wensley,Blackall,1868-08-14,1871-01-02,Mount Blackall,https://fotc.org/bios/samuel-wensley-blackall.md
Ann,Hill,1850-04-25,1871-11-01,6-21-9,https://fotc.org/bios/ann-hill.md
John,Donaldson,1841-06-15,1896-07-25,12-47-13,https://fotc.org/bios/john-donaldson.md
Peter,Jackson,1861-07-03,1901-07-13,5-28-1,https://fotc.org/bios/peter-jackson.md
Walter,Hill,1819-12-21,1904-02-04,6-21-9,https://fotc.org/bios/walter-hill.md
William Henry,Brown,1846-09-13,1904-04-12,11-51-3,https://fotc.org/bios/william-henry-browne.md
Kevin Izod,Oâ€™Doherty,1823-mm-dd,1905-mm-dd,7-58-27,https://fotc.org/bios/kevin-izod-odoherty.md
Thomas,Macdonald-Paterson,1844-05-09,1906-03-21,12-53-10,https://fotc.org/bios/thomas-macdonald-paterson.md
Anderson,Dawson,1863-07-16,1910-07-20,11-56-1,https://fotc.org/bios/anderson-dawson.md
John,Hoolan,1842-mm-dd,1911-06-15,7A-34-2,https://fotc.org/bios/john-hoolan.md
David,Bowman,1860-08-04,1916-02-25,11-76-12/13,https://fotc.org/bios/david-bowman.md
Arthur,Rutledge,1843-08-29,1917-02-08,13-49-15,https://fotc.org/bios/arthur-rutledge.md
Emma,Miller,1839-06-dd,1917-mm-dd,13-6-5/6,https://fotc.org/bios/emma-miller.md
Samuel Walker,Griffith,1845-06-21,1920-08-09,12-11-6/7,https://fotc.org/bios/samuel-walker-griffith.md
John Gordon,Smith,1863-mm-dd,1921-06-21,11-53-5/6,https://fotc.org/bios/john-gordon-smith.md
Albert Edward Victor,Whitford,1877-mm-dd,1924-01-29,15-6-40,https://fotc.org/bios/albert-edward-victor-whitford.md
William Neal,Gillies,1868-10-28,1928-02-09,18-106-20,https://fotc.org/bios/william-neal-gillies.md
Thomas,Glassey,1844-02-26,1936-09-28,11-22-1,https://fotc.org/bios/thomas-glassey.md
David John,Garland,1864-10-04,1939-10-11,1-5a-9,https://fotc.org/bios/david-john-garland.md
Lilian Violet,Cooper,1861-08-11,1947-08-18,8-69-13/14,https://fotc.org/bios/lilian-cooper.md
Edward Michael,Hanlon,1887-10-01,1952-01-15,7A-38-19/21,https://fotc.org/bios/edward-michael-hanlon.md
William,Forgan Smith,1887-04-15,1953-09-25,8-25-20/21,https://fotc.org/bios/william-forgan-smith.md
